,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp42.txt,hybrid_df_bf_basic,512.0,512.0,,1,0.314,0.314,0.314,,0.035,0.279,1.0,1,1,1,1,3.0,0.0,0.0
scp42.txt,hybrid_df_bf_intermediate,512.0,512.0,,1,43.5327,43.5327,43.5327,,0.038,43.4947,1.0,1,1,1,1,4.0,1.0,0.25
scp42.txt,hybrid_df_bf_none,512.0,512.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp42.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp42.txt,most_fractional_basic,512.0,512.0,,1,0.36,0.36,0.36,,0.035,0.325,1.0,1,1,1,1,3.0,0.0,0.0
scp42.txt,most_fractional_intermediate,512.0,512.0,,1,37.228,37.228,37.228,,0.037,37.191,1.0,1,1,1,1,4.0,1.0,0.25
scp42.txt,most_fractional_none,512.0,512.0,,1,0.036,0.036,0.036,,0.036,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp43.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp43.txt,best_first_basic,516.0,516.0,,1,0.3251,0.3251,0.3251,,0.042,0.2831,1.0,1,1,1,1,3.0,0.0,0.0
scp43.txt,best_first_intermediate,516.0,516.0,,1,49.6158,49.6158,49.6158,,0.061,49.5548,1.0,1,1,1,1,4.0,1.0,0.25
scp43.txt,best_first_none,516.0,516.0,,1,0.0711,0.0711,0.0711,,0.0711,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp43.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
