filename,search_strategy,heuristic_strategy,combination,run,cost,time,nodes_explored,optimal,heuristic_time,heuristic_calls,heuristic_improvements,bb_time,heuristic_efficiency
scp41.txt,most_fractional,intermediate,most_fractional_intermediate,3,429.0,17.604994535446167,1,True,17.570993185043335,4,1,0.03400135040283203,0.25
scp41.txt,most_fractional,advanced,most_fractional_advanced,1,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp41.txt,most_fractional,advanced,most_fractional_advanced,2,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp41.txt,most_fractional,advanced,most_fractional_advanced,3,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,depth_first,none,depth_first_none,1,512.0,0.03400087356567383,1,True,0.0,0,0,0.03400087356567383,0.0
scp42.txt,depth_first,none,depth_first_none,2,512.0,0.03199934959411621,1,True,0.0,0,0,0.03199934959411621,0.0
scp42.txt,depth_first,none,depth_first_none,3,512.0,0.03200101852416992,1,True,0.0,0,0,0.03200101852416992,0.0
scp42.txt,depth_first,basic,depth_first_basic,1,512.0,0.2929995059967041,1,True,0.2579994201660156,3,0,0.03500008583068848,0.0
scp42.txt,depth_first,basic,depth_first_basic,2,512.0,0.2830007076263428,1,True,0.24899911880493164,3,0,0.03400158882141113,0.0
scp42.txt,depth_first,basic,depth_first_basic,3,512.0,0.29900574684143066,1,True,0.26300048828125,3,0,0.036005258560180664,0.0
scp42.txt,depth_first,intermediate,depth_first_intermediate,1,512.0,33.25999855995178,1,True,33.22599673271179,4,1,0.034001827239990234,0.25
scp42.txt,depth_first,intermediate,depth_first_intermediate,2,512.0,36.07600498199463,1,True,36.04200625419617,4,1,0.033998727798461914,0.25
scp42.txt,depth_first,intermediate,depth_first_intermediate,3,512.0,32.885000228881836,1,True,32.85099911689758,4,1,0.03400111198425293,0.25
scp42.txt,depth_first,advanced,depth_first_advanced,1,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,depth_first,advanced,depth_first_advanced,2,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,depth_first,advanced,depth_first_advanced,3,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,breadth_first,none,breadth_first_none,1,512.0,0.03400015830993652,1,True,0.0,0,0,0.03400015830993652,0.0
scp42.txt,breadth_first,none,breadth_first_none,2,512.0,0.06300091743469238,1,True,0.0,0,0,0.06300091743469238,0.0
scp42.txt,breadth_first,none,breadth_first_none,3,512.0,0.03400230407714844,1,True,0.0,0,0,0.03400230407714844,0.0
scp42.txt,breadth_first,basic,breadth_first_basic,1,512.0,0.2930004596710205,1,True,0.2579996585845947,3,0,0.03500080108642578,0.0
scp42.txt,breadth_first,basic,breadth_first_basic,2,512.0,0.28400731086730957,1,True,0.24900054931640625,3,0,0.03500676155090332,0.0
scp42.txt,breadth_first,basic,breadth_first_basic,3,512.0,0.2869997024536133,1,True,0.2519958019256592,3,0,0.0350039005279541,0.0
scp42.txt,breadth_first,intermediate,breadth_first_intermediate,1,512.0,32.78399348258972,1,True,32.74999189376831,4,1,0.03400158882141113,0.25
scp42.txt,breadth_first,intermediate,breadth_first_intermediate,2,512.0,34.0790069103241,1,True,34.04600644111633,4,1,0.03300046920776367,0.25
scp42.txt,breadth_first,intermediate,breadth_first_intermediate,3,512.0,32.98099994659424,1,True,32.94799995422363,4,1,0.03299999237060547,0.25
scp42.txt,breadth_first,advanced,breadth_first_advanced,1,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,breadth_first,advanced,breadth_first_advanced,2,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,breadth_first,advanced,breadth_first_advanced,3,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp42.txt,best_first,none,best_first_none,1,512.0,0.03400015830993652,1,True,0.0,0,0,0.03400015830993652,0.0
scp42.txt,best_first,none,best_first_none,2,512.0,0.032999277114868164,1,True,0.0,0,0,0.032999277114868164,0.0
scp42.txt,best_first,none,best_first_none,3,512.0,0.032999277114868164,1,True,0.0,0,0,0.032999277114868164,0.0
scp42.txt,best_first,basic,best_first_basic,1,512.0,0.29500699043273926,1,True,0.2600064277648926,3,0,0.03500056266784668,0.0
scp42.txt,best_first,basic,best_first_basic,2,512.0,0.29000043869018555,1,True,0.2559974193572998,3,0,0.03400301933288574,0.0
